restaurant id,category id,item id,serving size (oz),calories,calories from fat,total fat (g),total fat (% daily value),saturated fat (g),saturated fat (% daily value),trans fat (g),cholesterol (mg),cholesterol (% daily value),sodium (mg),sodium (% daily value),carbohydrates (g),carbohydrates (% daily value),dietary fiber (g),dietary fiber (% daily value),sugars (g),protein (g),vitamin a (% daily value),vitamin c (% daily value),calcium (% daily value),iron (% daily value)
3000,122,469.0,,250,,7,,0.0,,1.5,36.0,,5.0,,140,,1,,31.0,11.0,15.0,0.0,40.0,20.0
3000,122,470.0,,180,,3,,0.0,,2.0,31.0,,5.0,,120,,0,,29.0,7.0,10.0,0.0,25.0,0.0
3000,122,471.0,,200,,6,,0.1,,3.5,31.0,,15.0,,125,,0,,29.0,7.0,8.0,2.0,25.0,0.0
3000,122,472.0,,180,,5,,0.0,,2.5,28.0,,0.0,,110,,1,,25.0,6.0,6.0,0.0,25.0,8.0
3000,122,473.0,,270,,4.5,,0.0,,3.5,47.0,,5.0,,190,,0,,45.0,12.0,15.0,2.0,35.0,0.0
3000,122,474.0,,310,,9,,0.1,,6.0,46.0,,20.0,,200,,0,,44.0,11.0,15.0,2.0,35.0,0.0
3000,122,475.0,,280,,8,,0.0,,3.5,42.0,,0.0,,170,,1,,39.0,10.0,10.0,2.0,35.0,10.0
3000,122,476.0,,350,,6,,0.0,,4.5,61.0,,10.0,,240,,0,,58.0,15.0,20.0,2.0,45.0,2.0
3000,122,477.0,,400,,11,,0.2,,7.0,61.0,,25.0,,250,,0,,58.0,15.0,15.0,2.0,45.0,0.0
3000,122,478.0,,370,,10,,0.0,,5.0,56.0,,0.0,,220,,1,,51.0,13.0,10.0,2.0,45.0,15.0
3000,122,479.0,,450,,7,,0.0,,6.0,78.0,,10.0,,310,,0,,74.0,19.0,25.0,2.0,60.0,2.0
3000,122,480.0,,510,,15,,0.2,,9.0,77.0,,35.0,,330,,0,,74.0,19.0,20.0,4.0,60.0,2.0
3000,122,481.0,,460,,13,,0.0,,6.0,70.0,,5.0,,290,,1,,64.0,16.0,15.0,2.0,60.0,20.0
3000,122,482.0,,130,,1.5,,0.0,,1.0,26.0,,5.0,,70,,1,,23.0,7.0,10.0,0.0,20.0,10.0
3000,122,483.0,,150,,4.5,,0.1,,2.5,26.0,,15.0,,80,,1,,22.0,7.0,10.0,0.0,20.0,10.0
3000,122,484.0,,130,,3.5,,0.0,,1.0,23.0,,0.0,,60,,2,,18.0,6.0,6.0,0.0,20.0,20.0
3000,122,485.0,,190,,2,,0.0,,1.0,37.0,,5.0,,110,,1,,32.0,11.0,15.0,0.0,30.0,20.0
3000,122,486.0,,230,,7,,0.2,,3.5,37.0,,20.0,,120,,1,,32.0,10.0,15.0,0.0,30.0,20.0
3000,122,487.0,,200,,6,,0.0,,1.5,32.0,,0.0,,95,,2,,25.0,9.0,10.0,0.0,30.0,30.0
3000,122,488.0,,240,,2.5,,0.0,,1.5,48.0,,5.0,,140,,2,,41.0,14.0,20.0,0.0,40.0,25.0
3000,122,489.0,,290,,9,,0.2,,5.0,47.0,,25.0,,160,,2,,41.0,14.0,20.0,2.0,40.0,25.0
3000,122,490.0,,250,,7,,0.0,,2.0,41.0,,0.0,,125,,3,,32.0,12.0,15.0,0.0,40.0,40.0
3000,122,491.0,,320,,3,,0.0,,2.0,63.0,,10.0,,180,,2,,55.0,18.0,25.0,0.0,50.0,30.0
3000,122,492.0,,380,,11,,0.3,,6.0,63.0,,35.0,,200,,2,,54.0,17.0,25.0,2.0,50.0,30.0
3000,122,493.0,,330,,9,,0.0,,2.5,55.0,,0.0,,160,,4,,44.0,15.0,15.0,0.0,50.0,50.0
